"unique_key","created_date","agency","agency_name","complaint_type","descriptor","location_type","incident_zip","incident_address","street_name","cross_street_1","cross_street_2","intersection_street_1","intersection_street_2","address_type","status","community_board","borough","x_coordinate_state_plane","y_coordinate_state_plane","open_data_channel_type","park_facility_name","park_borough","latitude","longitude","location"
"67076848","2025-12-06T16:26:00.000","DEP","Department of Environmental Protection","Lead","Lead Kit Request (Residential) (L10)",,"11377","41-35 70 STREET","70 STREET","BROOKLYN QUEENS EXPY","WOODSIDE AVE",,,"ADDRESS","Open","02 QUEENS","QUEENS","1013387","210156","ONLINE","Unspecified","QUEENS","40.74345827531442","-73.89485023898209","@{latitude=40.74345827531442; longitude=-73.89485023898209; human_address={""address"": """", ""city"": """", ""state"": """", ""zip"": """"}}"
"67082619","2025-12-06T16:26:00.000","DEP","Department of Environmental Protection","Water System","Leak (Use Comments) (WA2)",,"11378","60-78 69 PLACE","69 PLACE","60 DR","ELIOT AVE",,,"ADDRESS","Closed","05 QUEENS","QUEENS","1014759","201787","ONLINE","Unspecified","QUEENS","40.72048281517262","-73.88993691109188","@{latitude=40.72048281517262; longitude=-73.88993691109188; human_address={""address"": """", ""city"": """", ""state"": """", ""zip"": """"}}"
"67081180","2025-12-06T16:26:00.000","DEP","Department of Environmental Protection","Sewer","Sewer Backup (Use Comments) (SA)",,"11420","130-47 124 STREET","124 STREET","SUTTER AVE","133 AVE",,,"ADDRESS","Open","10 QUEENS","QUEENS","1035755","184480","PHONE","Unspecified","QUEENS","40.67288190764837","-73.81432507598349","@{latitude=40.67288190764837; longitude=-73.81432507598349; human_address={""address"": """", ""city"": """", ""state"": """", ""zip"": """"}}"
"67078194","2025-12-06T16:23:50.000","DHS","Department of Homeless Services","Encampment","N/A","Residential Building/House","11385","61-16 80 AVENUE","80 AVENUE","61 STREET","62 STREET","61 STREET","62 STREET","ADDRESS","In Progress","05 QUEENS","QUEENS","1013982","192676","MOBILE","Unspecified","QUEENS","40.69547793945873","-73.89278021471966","@{latitude=40.69547793945873; longitude=-73.89278021471966; human_address={""address"": """", ""city"": """", ""state"": """", ""zip"": """"}}"
"67076870","2025-12-06T16:23:00.000","DEP","Department of Environmental Protection","Sewer","Manhole Overflow (Use Comments) (SA1)",,"11378","60-76 69 PLACE","69 PLACE","60 DR","ELIOT AVE",,,"ADDRESS","Closed","05 QUEENS","QUEENS","1014754","201795","PHONE","Unspecified","QUEENS","40.720504790468894","-73.88995491262327","@{latitude=40.720504790468894; longitude=-73.88995491262327; human_address={""address"": """", ""city"": """", ""state"": """", ""zip"": """"}}"
"67079735","2025-12-06T16:23:00.000","DEP","Department of Environmental Protection","Sewer","Street Flooding (SJ)",,"10303","252 SIMONSON AVENUE","SIMONSON AVENUE","WALKER ST","DIXON AVE",,,"ADDRESS","Open","01 STATEN ISLAND","STATEN ISLAND","941943","169021","PHONE","Unspecified","STATEN ISLAND","40.630499117500825","-74.15241934623015","@{latitude=40.630499117500825; longitude=-74.15241934623015; human_address={""address"": """", ""city"": """", ""state"": """", ""zip"": """"}}"
"67076805","2025-12-06T16:22:38.000","DSNY","Department of Sanitation","Obstruction","Sign","Sidewalk","10021","1319 2 AVENUE","2 AVENUE","EAST   69 STREET","EAST   70 STREET","EAST   69 STREET","EAST   70 STREET","ADDRESS","In Progress","08 MANHATTAN","MANHATTAN","995446","218774","PHONE","Unspecified","MANHATTAN","40.76715340218185","-73.95958144865634","@{latitude=40.76715340218185; longitude=-73.95958144865634; human_address={""address"": """", ""city"": """", ""state"": """", ""zip"": """"}}"
"67085422","2025-12-06T16:21:59.000","DSNY","Department of Sanitation","Vendor Enforcement","Non-Food Vendor","Street","11368","37-37 JUNCTION BOULEVARD","JUNCTION BOULEVARD","37 AVENUE","38 AVENUE","37 AVENUE","38 AVENUE","ADDRESS","Closed","03 QUEENS","QUEENS","1020169","212826","ONLINE","Unspecified","QUEENS","40.75076180120926","-73.870361093571","@{latitude=40.75076180120926; longitude=-73.870361093571; human_address={""address"": """", ""city"": """", ""state"": """", ""zip"": """"}}"
"67076800","2025-12-06T16:21:44.000","DSNY","Department of Sanitation","Dead Animal","Raccoon","Sidewalk","10309","15 SCHINDLER COURT","SCHINDLER COURT","BARRY STREET","DEAD END","BARRY STREET","DEAD END","ADDRESS","In Progress","03 STATEN ISLAND","STATEN ISLAND","924639","140340","ONLINE","Unspecified","STATEN ISLAND","40.55167621470917","-74.2145071894811","@{latitude=40.55167621470917; longitude=-74.2145071894811; human_address={""address"": """", ""city"": """", ""state"": """", ""zip"": """"}}"
"67075281","2025-12-06T16:21:11.000","DSNY","Department of Sanitation","Dead Animal","Cat","Sidewalk","11355","146-13 60 AVENUE","60 AVENUE","146 STREET","148 STREET","146 STREET","148 STREET","ADDRESS","In Progress","07 QUEENS","QUEENS","1033375","209830","PHONE","Unspecified","QUEENS","40.74247504502381","-73.82271997580656","@{latitude=40.74247504502381; longitude=-73.82271997580656; human_address={""address"": """", ""city"": """", ""state"": """", ""zip"": """"}}"
